Location,Lamp Hrs,Lamp Hours(2),Projector Type,Filter Hrs,Lamp Status,Last Checked,Prev. Inc.,Model: Control | TP,IP: Control | TP  ,FW: Control | TP,AMX IP,Last Checked,Notes
BEP215,0,N/A,Panasonic PT-VZ575N,0,GOOD,5/14/2019,"INC0097338
",DMPS3-4K-150-C,192.168.80.182,1.502.3205.17254,,5/18/2018,"System- 
Components: Crestron TSW-750-TTK-B-S Touchpanel(6506065) and DMPS3-4K-150-C, Epson ELPDC05 Document Camera(Inv. #: Black and White: 15589)(S/N: FYZ05Z1997), Delvcam VGA & Monitor 619160242, Logitech Webcam, Epiphan DVI2USB adapter, Smart Board X800 (Inv. #: None)(S/N: G012GI08C0032), Sharp LC-70LE661U TV (Inv. #: None)(S/N: 611416391) | Sources: Computer, Laptop VGA, Laptop HDMI, Doc Cam | "
BEP218,4256,N/A,Panasonic PT-VZ575,198,GOOD,1/3/2019,INC0097342,DMPS3-4K-150-C,192.168.80.236,1.500.3205.17254,,5/18/2018,"System-
Components: Crestron TSW-750-TTK-B-S Touchpanel(6506065) and DMPS3-4K-150-C, Epson ELPDC05 Document Camera(Inv. #: Black and White: 15589)(S/N: FYZ05Z1997), Delvcam VGA & Monitor 619160242, Logitech Webcam, Epiphan DVI2USB adapter, Smart Board X800 (Inv. #: None)(S/N: G012GI08C0032), Sharp LC-70LE661U TV (Inv. #: None)(S/N: 611416391) | Sources: Computer, Laptop VGA, Laptop HDMI, Doc Cam | "
BEP232,(PC only),,None,,,1/3/2019,,,,,,5/18/2018,
BEP250,1617,N/A,Epson PowerLite G5150 ,0,GOOD,1/3/2019,INC0068264,None,,,,5/18/2018,"System- 
Components: AMX NXT-CV7 Touchpanel(Inv. #: None)(S/N: 225801XP3050147) and NI-2100 Controller, Extron IN1508 Scaler/Switcher, Toshiba DVD/VCR Combo unit, Sony Back Camera(Inv. #: Black: 18747)(S/N:Not visible), Sony Front Camera(Inv. #: Black: 18746)(S/N: 152194), Insignia NS-LTDVD32-09 TV(Inv. #: Black and White: 17620)(S/N: 8B19A0261AC), Epiphan VGA2USB adapter, Two White Audio-Technica ceiling drop mics, Logitech Webcam | Sources: Computer, Front Camera, Back Camera, DVD/VCR | "
BEP256,5,,NEC NP-P451W,5,,1/3/2019,INC0097346,QM-RMC,192.168.80.166,,,5/18/2018,"System- 
Components: XPanel software, Crestron Touchpanel(Model: Verify)(Inv. #: None)(S/N: Verify), ELMO TT-12 Document Camera(Inv. #: None)(S/N: 1316771), HD Logitech HD Webcam | Sources: Computer, Laptop VGA/HDMI, Document Camera |"
BRB1145,(Display),,TV,,GOOD,5/28/2015,,MPS-100,192.168.80.89,4.003.0015 (Oct 04 2010),,5/18/2018,
BRB1025,1266,1218,NEC NP-P502WL-2,284 and 284,GOOD,5/14/2019,"INC0105494
",DMPS3-300-C,192.168.80.10,1.502.3081.24394,,,"System- 
Components: 
Crestron- 

? TSW-750-TTK-B-S Touchpanel(6506065) 
? DMPS3-300-C(Inv. #: None)(S/N: 12625241) 
? HD-TX3-C-B(Inv. #: None)(S/N: 14140501) 
? HD-DA2-4K-E(Inv. #: None)(P/N: 6507050)(S/N: 15936993) 

WolfVision VZ-8light Document Camera(Inv. #: None)(S/N: 08 8482), AF CCD preview camera, (2) Epiphan DVI2USB adapters, Sharp LC-70LE661U TV(Inv. #: 25077)(S/N: 511818634), Cisco Catalyst 3560-CG Series PoE Managed Switch(Inv. #: None)(S/N: FOC1643Y0CR), Shure ULXS4 Wireless Mic Rec.(Inv. #: None)(S/N: 1JE2026918), RDL EZ-MPA(S/N: 1097053), Shure ULX1-J1 Lapel mic, Crown Ceiling Mic Logitech clicker | Sources: Computer, Laptop VGA, Laptop HDMI, Doc Cam, Preview Camera | "
BRB1030,1370,1376,NEC NP-P502WL-2,276 and 276,GOOD,5/14/2019,INC0105181,DMPS3-300-C,192.168.80.14,1.503.3332.19705,,,"System- 
Components: 
Crestron- 
? TSW-750-TTK-B-S Touchpanel(6506065) 
? DMPS3-300-C(Inv. #: None)(P/N: 6506615)(S/N: 12625232) 
? HD-TX3-C-B(Inv. #: None)(P/N: 6506330)(S/N: 14140525) 
? HD-DA2-4K-E(Inv. #: None)(P/N: 6507050)(S/N: 15936994)(2251-0C10C) 
Cisco Catalyst 3560-CG Series PoE Managed Switch(Inv. #: None)(S/N: FOC1644Y0JD), WolfVision VZ-8light Document Camera(Inv. #: 15944)(S/N: 0811736), AF CCD preview camera, (2) Epiphan DVI2USB adapters, Sharp LC-70LE661U TV(Inv. #: 25079)(S/N: 511818636), (2) Shure ULXS4-J1 Receivers (Inv. #s: None and None)(S/Ns: 2LK0792203 and 1JE2026925), RDL EZ-MPA1(Inv. #: None)(S/N: 097053), ULX1-J1 Lapel and handheld SM58 wireless microphones, Crown c-mic, Logitech clicker and webcam | Sources: Computer, Laptop VGA, Laptop HDMI, Doc Cam, Camera Controls| "
BRB1055,1944,1943,NEC NP-P502WL-2,357 and 357,GOOD,5/14/2019,INC0105182,DMPS3-300-C,192.168.80.18,1.503.3332.19705,,,"System- 
Components: 
Crestron- 
? TSW-750-TTK-B-S Touchpanel(6506065), 
? DMPS3-300-C(Inv. #: None)(P/N: 6506615)(S/N: 12625237) 

CISCO Catalyst 3560-CG Managed Switch(Inv. #: None)(S/N: F0C1642Y1GN), KanexPro 4K HDMI splitter(MPN: SP-HD1X44K), RDL EZ-MPA1 Mic Preamp, (2) Shure ULXS4 Receivers, WolfVision VZ-8plus^2 Doc Cam(Inv. #: Black: 16430 and White: 016430))(S/N: 0850967), PTZ Optics Cam, (2) Epiphan DVI2USB adapters, Sharp LC-70LE661U TV(Inv. #: 25078)(S/N: 511818635), Shure ULX1-J1 and handheld SM58 wireless microphones, Crown c-mic, Logitech clicker | Sources: Computer, Laptop VGA, Laptop HDMI, Doc Cam, Camera Controls | "
BRB2405,800,N/A,Panasonic PT-VZ575N,238,GOOD,5/17/2019,,,,,,5/18/2018,"System- This skills lab has less system components than most classrooms. There is no touchpanel; a projector remote is used. 
Components: Bogen C-35, VCR | Sources: N/A: Desktop Computer | "
