Location,Classification,Type,OS:,Model #,Service Tag,Warranty Satus,Purchase Date,Mfg. Date,UTT Tag,Computer Name,Notes,Notes2
BEP125,210,Lab,Win10(x64) Version 1809,Dell Optiplex 7020,3YP5XH2,Verify,,,White Only: 027039,BEP125-FAC1,,
BEP140,350,Class,Win10(x64) Version 1809,Dell Optiplex 380,H9C7SL1,Warranty Expired ,,,Black: 19454 White: 019454,CL-BEP140-HP,,
BEP144,210,Class,Win10(x64) Version 1809,Dell Optiplex 3010,8FF0CY1,Warranty Expired ,,20131002,Black: 22464 White: 027656,CL-BEP144-DELL,,
BEP213,110,Class,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL5511171,End Date: 1/12/2019,,,Black: 24579 White: 025229,CL-BEP213-HP,,
BEP215,110,Class,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL551117H,End Date: 1/12/2019,,,Black: 24585 White: 025235,CL-BEP215-HP,,
BEP218,110,Class,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL551117J,End Date: 12/20/2018,,,Black: 24594 White: 025243,CL-BEP218-HP,,
BEP232,110,Conf,Win10(x64) Version 1809,Dell Optiplex 390,CW2PNS1,Warranty Expired ,,,Black: 19868 White: 019868,CL-BEP232-HP,,
BRB1030,110,Class,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL4340C8J,Warranty Expired ,,,Black: 23050 White: 023177,CL-BRB1030-HP,,
BRB1055,110,Class,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL4340C99,Warranty Expired ,,,Black: 23037 White: 023164,CL-BRB1055-HP,,
BRB1145,350,Conf,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL4340CB2,Warranty Expired ,,,Black Only: 23048,CL-BRB1145-HP,Verify,
BRB2435,210,Lab,Win10(x64) Version 1809,Dell Optiplex 7020,257SD22,,,,White Only: 27048,CL-BRB2435-Dll,,
BRB2440,210,Lab,Win10(x64) Version 1809,Dell Optiplex 7020,885XD22,,,,White Only: 27049,CL-BRB2440-Dell,Verify,
COB103,60,Class,Win10(x64) Version 1809,HP EliteDesk 800G3 SFF,MXL8232GR0,End Date: 6/17/2021,,,White Only: 028551,CL-COB103-HP,,
COB111,60,Class,Win10(x64) Version 1809,HP EliteDesk 800G3 SFF,MXL8232GQX,End Date: 6/17/2021,,,White Only: 028548,CL-COB111,,
COB112,60,Class,Win10(x64) Version 1809,HP EliteDesk 800G3 SFF,MXL8232GQY,End Date: 6/17/2021,,,White Only: 028549,CL-COB112-HP,,
LIB 115,,Off,,,D7XH5J1,,,,750-18400,CL-LIB115-HP,,
LIB 118,,Off,,380,8X5MDQ1,,,,750-22169,CL-LIB127-STUW2,,
LIB 118,,Off,,380,8X6PDQ1,,,,750-22078,CL-TEMP-27,,
LIB 118,,Off,,380,8XDMPQ1,,5/25/2011,,750-21452,CL-LIB127-21452,,
LIB 118,,Off,,380,8XGNDQ1,,5/25/2011,,750-21450,CL-LIB118-SYSOP,,
LIB 118,,Off,,"iMac 24""",D25HQOUVDHJT,,,,750-20461,CL-LIB-118 STUDIO MAC,,
LIB 118,,Off,,960,FYFPFK1,,,,750-21663,CL-LIB127F-CAPTURE,,
LIB 118,,Off,,,,,,,,,,
LIB 126,,Off,,"iMac 27""",D25FN2RKDHJW,,,,750-18993,CL-LIB126 STUDIO MAC,,
LIB 126A,,Off,,380,8652QN1,,5/25/2011,,750-21451,CL-LIB126A-CBROWN,,
LIB 127,,Off,,390,2QX4XD1,,,,750-16891,,PC location confirmed 5/18/15,
LIB 127,,Off,,390,86G2QN1,,,,750-21451,,PC location confirmed 5/18/15,
LIB 127,,Off,,390,8X5PDQ1,,,,750-22079,,PC location confirmed 5/18/15,
LIB 127,,Off,,390,8X7PDQ1,,,,750-21564,,PC location confirmed 5/18/15,
LIB 127,,Off,,390,8X8NDQ1,,,,750-22080,,PC location confirmed 5/18/15,
LIB 127,,Off,,390,8XCPDQ1,,,,750-22078,,PC location confirmed 5/18/15,
LIB 127,,Off,,390,8XDMDQ1,,,,750-21452,,PC location confirmed 5/18/15,
LIB 127,,Off,,390,8XDNDQ1,,,,750-22650,,PC location confirmed 5/18/15,
LIB 127,,Off,,390,8XGMDQ1,,,,750-22140,,PC location confirmed 5/18/15,
LIB 127,,Off,,390,8XGNDQ1,,,,750-21450,,PC location confirmed 5/18/15,
LIB 127,,Off,,390,CW0QNS1,,,,750-29862,,PC location confirmed 5/18/15,
LIB 127,,Off,,390,CW3RNS1,,,,750-19853,,PC location confirmed 5/18/15,
LIB 127,,Off,,800G1,MXL4340C87,,,,750-23013,CL-DATSPARE1-HP,PC location confirmed 5/18/15,
LIB 127,,Off,,800G1,MXL4340C88,,,,750-23039,CL-DATSPARE2-HP,PC location confirmed 5/18/15,
LIB 127 Workroom,,Off,,380,8X9MDQ1,,,,750-22653,CL-LIB127F,Ed Tech Services,
LIB 127 Workroom,,Off,,380,8XGMDQ1,,,,750-22140,CL-ETS-1,,
LIB 127 Workroom,,Off,,,,,,,,,,
LIB 127F,,Off,,380,H9C8SL1,,5/25/2011,,750-19456,CL-LIB127F-JNEWLAN,,
LIB 127H,,Off,,755,3Q175H1,,8/21/2008,,750-17982,,,
COB180,,,Win10(x64) Version 1809,HP EliteDesk 800G3 SFF,MXL8232GQW,End Date: 6/17/2021,,,White Only: 028547,CL-COB180,,
LIB-127-ETS,,Off,,380,8G62QN1,,,,750-21451,CL-ETS-SPARE2,,
LIB-127-ETS,,Off,,380,8X5PDQ1,,,,750-22079,CL-ETS-SPARE4,,
LIB-127-ETS,,Off,,380,8X7PDQ1,,,,750-21564,CL-ETS-SPARE1,,
LIB-127-ETS,,Off,,380,8X8NDQ1,,,,750-22080,CL-ETS-SPARE3,,
LIB-127-ETS,,Off,,380,8XCPDQ1,,,,750-22078,CL-ETS-SPARE5,,
LIB-127-ETS,,Off,,380,8XDMDQ1,,,,750-21452,CL-ETS-SPARE7,,
LIB-127-ETS,,Off,,380,8XDNDQ1,,,,750-22650,CL-ETS-SPARE6,,
LIB-127-ETS,,Off,,380,8XGMDQ1,,,,750-22140,CL-ETS-SPARE9,,
LIB-127-ETS (Spare),,RoomSup,,380,,,,,750-21451,,,
LIB-127-ETS (Spare),,RoomSup,,380,,,,,750-21452,,,
LIB-127-ETS (Spare),,RoomSup,,380,,,,,750-21564,,,
LIB-127-ETS (Spare),,RoomSup,,380,,,,,750-22078,,,
LIB-127-ETS (Spare),,RoomSup,,380,,,,,750-22079,,,
COB203,60,Class,Win10(x64) Version 1809,HP EliteDesk 800G3 SFF,MXL8232GQZ ,,,,White Only: 028550,CL-COB203-HP,,
COB207,60,Class,Win10(x64) Version 1809,Dell Optiplex 7040,4RMSND2,End Date: 12/12/2019,,,White Only: 027126,CL-COB207,,
COB211,60,Class,Win10(x64) Version 1809,Dell Optiplex 7040,4RLSND2,End Date: 12/12/2019,,,White Only: 027127,CL-COB211,,
COB212,60,Class,Win10(x64) Version 1809,HP EliteDesk 800G3 SFF,MXL8232GR4 ,End Date: 6/17/2021,,,White Only: 028555,CL-COB212-HP,,
COB214,60,Class,Win10(x64) Version 1809,HP EliteDesk 800G3 SFF,MXL8232GR3,End Date: 6/17/2021,,,White Only: 028554,CL-COB214-HP,,
COB229,30,Lab,Win10(x64) Version 1809,HP EliteDesk 800 G1 SFF,MXL551117K,Warranty Expired ,,,White Only: 025238,CL-COB229,,
COB251,60,Class,Win10(x64) Version 1809,Dell Optiplex 7040,4RMRND2,End Date: 12/12/2019,,,White Only: 027124,CL-COB251-DELL,,
COB255,60,Class,Win10(x64) Version 1809,Dell Optiplex 7040,4RMQND2,,,,White Only: 027125,CL-COB255,,
COB321,,,Win10(x64) Version 1809,HP EliteDesk 800G3 SFF,MXL8232GR1,End Date: 6/17/2021,,,White Only: 028552,CL-COB321,,
HPC2255,110,Class,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL5511172,End Date: 1/12/2019,5/25/2011,,Black: 24574 White: 025224,CL-HPC2255-HP,,
HPR134,210,Lab,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL4340C9G,Warranty Expired ,,,Black: 23023 White: 027368,CL-HPR134,,
HPR247,350,Class,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL4340C9Z,Warranty Expired ,,,Black: 23001 White: 023190,CL-HPR247-HP,,
HPR248,210,Class,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL4340C94,Warranty Expired ,,,Black: 23009 White: 023136,CL-HPR248,,
HPR251,110,Class,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL4340C8M,Warranty Expired ,,,Black: 23014 White: 023167,CL-HPR251-HP2,Last Reimaged: INC0094290,
HPR252,110,Class,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL551117G,End Date: 1/12/2019,5/25/2011,,Black: 24576 White: 025226,CL-HPR252,,
HPR253,110,Class,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL5511174,End Date: 1/12/2019,5/25/2011,,Black: 24577 White: 025227,CL-HPR253,,
HPR262,110,Class,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL5511175,End Date: 1/12/2019,5/25/2011,,Black: 24578 White: 025228,CL-HPR262,Last Reimaged: INC0094280,
ORN103,650,,Win10(x64) Version 1809,Dell Optiplex 380,8XCNDQ1,,11/30/2010,,Black Only: 22726,THEATER-ROOM,Verify,
PLB 104,220,Lab,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL4340C8T,Warranty Expired ,,,23057,CL-PLB104-HP,Jeremy in Palestine Verified info,
PLB 113,220,Lab,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL4340C8P,Warranty Expired ,,,23058,CL-PLB113-HP,Jeremy in Palestine Verified info,
PMH 127,110,Class,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL4340C9J,Warranty Expired ,,,23052,CL-PMH127-HP,Jeremy in Palestine Verified info,
PMH 210,110,Class,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL4340C8N,Warranty Expired ,,,23053,CL-PMH210-HP,Jeremy in Palestine Verified info,
PMH 211,110,Class,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL4340C8F,Warranty Expired ,,,23054,CL-PMH211-HP,Jeremy in Palestine Verified info,
PMH 212,110,Class,Win10(x64) Version 1809,HP EliteDesk 800G1 SFF,MXL4340C9Q,Warranty Expired ,,,23055,CL-PMH212-HP,Jeremy in Palestine Verified info,
RBN4024,110,Class,Win10(X64) Version 1809,HP EliteDesk 800G1 SFF,MXL4340C90,Warranty Expired ,,,Black: 24581 and White: 025231,CL-RBN4024-HP,,
RBN4025,110,Class,Win10(X64) Version 1809,HP EliteDesk 800G1 SFF,MXL5511173,End Date: 1/12/2019,,,Black: 24582 and White: 025232,CL-RBN4025-HP,,
RBN4032,210,Lab,Win10(X64) Version 1809,Dell Optiplex 7020,5B7SD22 ,,,,White Only: 027036 ,CL-RBN4032-DELL,,
RBN4034,210,Lab,Win10(X64) Version 1809,Dell Optiplex 7020,477SD22 ,,,,White Only: 027037,CL-RBN4034-DELL,,
BRB2490,220,Lab,Win7(x64) Version 6.1 (Build 7601: Service Pack 1),Dell Optiplex 7010,FYSGHX1,,,,Black Only: 22105 White: 22105,DT-BRBEMSDB1,PC location confirmed 5/26/15,
HPC3035,220,Lab,Win7(x64) Version 6.1 (Build 7601: Service Pack 1),HP EliteDesk 800G1 SFF,Verify S/N,,,,Black Only: 23005,CL-HPC3035-HP,Verify,
HPR235,350,Class,Win7(x64) Version 6.1 (Build 7601: Service Pack 1),Dell Optiplex 380,5FVKJM1,,,,Black: 19391 White: 019391,HPR235-CONF,,
LIB202,350,Conf,Win7(x64) Version 6.1 (Build 7601: Service Pack 1),Dell Optiplex 755,,,,,Black Only: 18362,Verify,Verify ,
RBN1007,220,Lab,Win7(x64) Version 6.1 (Build 7601: Service Pack 1),HP EliteDesk 800G1 SFF,MXL4340C8Y,Warranty Expired ,,,Black Only: 23046,CL-RBN1007-HP,,
RBN4039,Conf.,Conf.,Win7(x64) Version 6.1 (Build 7601: Service Pack 1),Dell Optiplex 3020,JSHDX12,,,20140805,Black Only: 22800,RBN4039-CONF,,
RBS1024,220,Lab,Win7(x64) Version 6.1 (Build 7601: Service Pack 1),Dell Optiplex 3010,4FGH7Y1,,,,Black: 22157 White: 022157,CL-RBS1024,,
RBS1032,110,Class,Win7(x64) Version 6.1 (Build 7601: Service Pack 1),HP EliteDesk 800G1 SFF,Verify S/N,,,,Black Only: 23010,CL-RBS1032-HP,Verify,
RBS2023,350,Conf,Win7(x64) Version 6.1 (Build 7601: Service Pack 1),Dell Optiplex 390,CW0QNS1,,,20120430,Black: 19862 White: 019862,CL-RBS2023,,
STE324,350,Conf,Win7(x64) Version 6.1 (Build 7601: Service Pack 1),HP EliteDesk 800G2 SFF,MXL6352NXQ ,End Date: 9/06/2019,,,Black Only: 25394,STE324-PRCONF,,
HPR256,,Class,Wind10(x64) Version 1803 (OS Build 17134.472),HP EliteDesk 800G1 SFF,MXL4340C8C,,,,Black: 23017 White: 029391,CL-HPR256-HP,,
ALH,,,,,,,,,,,,
BEP128,210,Lab,,None,,,,,,,,
BEP129,210,Lab,,None,,,,,,,,
BEP132,220,Lab,,None,,,,,,,,
BEP133,210,Lab,,Dell Optiplex 380,HHCKM1,Warranty Expired ,,2010.06.17,Black: 19246 White: 019246,BEP133-LAB04,"Local STEin PW: ""Bigb123""",
BRB2495,220,Lab,,Dell Optiplex 7010,Verify S/N,,,,Black Only: 22107,,PC location confirmed 5/26/15,
CAS106,110,Class,,HP EliteDesk 800G1 SFF,MXL4340C85,Warranty Expired ,,,Black Only: 23016,CL-CAS106-HPX,,
CAS158,110,Class,,,,,,,,,,
HPC2185,220,Lab,,,,,,,,,PC not provided,
SPARE CL 1,,,,Dell Optiplex 7020,GB7SD22,,,,White Only: 027040,CL-CTSPARE-1,,
UC Ballroom,220,Events,,HP EliteDesk 800G1 SFF,Verify S/N,,,,Black Only: 23022,CL-UCAUDI-HP,Verify,
UC Theater,,,,HP EliteDesk 800G1 SFF,Verify S/N,,,,Black Only: 24148,UC3413-24148,Verify,
UC3114A,,,,Dell Optiplex 380,4CC04V1,,,,Black Only: 19882,CL-UC3114A,,
UC3114B,,,,Dell Optiplex 390,404QTV1,,,,Black: 21289 White: 021289 ,CL-UC3114B,Teaching station located in BEP125?,
UC Audit,,,,HP EliteDesk 800G1 SFF,FYDWFK1,,,,Black Only: 23051,CL-UCBALL-HP,Verify ,
UCN Ball,,,,LATITUDE,5FW6MQ1,,,,Black Only: 23022,L-UC3400-CHECK3,PC location confirmed 5/12/15,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
